"team","abbreviation","fg_pct"
"Denver Nuggets","DEN",51.3
"Oklahoma City Thunder","OKC",49.7
"Miami Heat","MIA",47.8
"Houston Rockets","HOU",48.7
"New York Knicks","NY",47.6
"Minnesota Timberwolves","MIN",48.6
"San Antonio Spurs","SA",48.6
"Detroit Pistons","DET",48.2
"Cleveland Cavaliers","CLE",45.9
"Los Angeles Lakers","LAL",50.7
"Atlanta Hawks","ATL",48.5
"Orlando Magic","ORL",47.1
"Utah Jazz","UTAH",45.5
"Portland Trail Blazers","POR",44.2
"Chicago Bulls","CHI",46.6
"Boston Celtics","BOS",47.3
"Philadelphia 76ers","PHI",45.6
"Phoenix Suns","PHX",46.7
"Toronto Raptors","TOR",48.4
"Milwaukee Bucks","MIL",49.1
"Charlotte Hornets","CHA",45.3
"Memphis Grizzlies","MEM",44.9
"Golden State Warriors","GS",44.9
"New Orleans Pelicans","NO",45.8
"Washington Wizards","WSH",46.2
"Dallas Mavericks","DAL",45.8
"LA Clippers","LAC",46.9
"Sacramento Kings","SAC",46.6
"Indiana Pacers","IND",43.4
"Brooklyn Nets","BKN",44.5
